Time        | File Name                                                              
6m12.35s    | Specific/montgomery64_2e384m2e128m2e96p2e32m1_6limbs/feopp             
6m12.22s    | Specific/montgomery64_2e384m79x2e376m1_6limbs/feopp                    
6m11.86s    | Specific/montgomery64_2e382m105_6limbs/feopp                           
6m11.80s    | Specific/montgomery64_2e384m5x2e368m1_6limbs/feopp                     
6m10.73s    | Specific/montgomery64_2e369m25_6limbs/feopp                            
6m10.16s    | Specific/montgomery64_2e379m19_6limbs/feopp                            
6m07.26s    | Specific/montgomery64_2e336m17_6limbs/feopp                            
6m07.24s    | Specific/montgomery32_2e192m2e64m1_6limbs/feopp                        
6m07.04s    | Specific/montgomery64_2e321m9_6limbs/feopp                             
6m06.64s    | Specific/solinas32_2e383m421_18limbs/fesquare                          
6m03.24s    | Specific/montgomery32_2e174m3_6limbs/feopp                             
6m01.63s    | Specific/montgomery32_2e191m19_6limbs/feopp                            
6m00.08s    | Specific/montgomery32_2e189m25_6limbs/feopp                            
5m56.67s    | Specific/montgomery32_2e174m17_6limbs/feopp                            
5m55.39s    | Specific/montgomery32_2e166m5_6limbs/feopp                             
5m53.10s    | Specific/montgomery32_2e171m19_6limbs/feopp                            
5m52.40s    | Specific/montgomery32_2e521m1_17limbs/feadd                            
5m52.14s    | Specific/montgomery32_2e165m25_6limbs/feopp                            
5m45.58s    | Specific/solinas32_2e452m3_18limbs/fesquare                            
5m45.49s    | Specific/solinas32_2e322m2e161m1_12limbs/femul                         
5m39.66s    | Specific/montgomery32_2e448m2e224m1_14limbs/Synthesis                  
5m39.48s    | Specific/montgomery32_2e444m17_14limbs/Synthesis                       
5m37.40s    | Specific/solinas32_2e379m19_15limbs/femul                              
5m37.27s    | Specific/solinas32_2e382m105_17limbs/fesquare                          
5m36.46s    | Specific/solinas32_2e511m187_23limbs/Synthesis                         
5m35.67s    | Specific/solinas32_2e383m31_15limbs/femul                              
5m35.40s    | Specific/solinas32_2e383m187_17limbs/fesquare                          
5m34.63s    | Specific/solinas32_2e511m481_23limbs/Synthesis                         
5m34.17s    | Specific/solinas32_2e511m187_23limbs/fesub                             
5m25.28s    | Specific/solinas32_2e512m569_25limbs/freeze                            
5m20.05s    | Specific/solinas32_2e511m187_23limbs/feadd                             
5m16.63s    | Specific/solinas32_2e383m421_17limbs/fesquare                          
5m12.32s    | Specific/solinas32_2e384m317_17limbs/fesquare                          
5m08.83s    | Specific/solinas32_2e414m17_17limbs/fesquare                           
5m07.20s    | Specific/solinas32_2e512m569_24limbs/freeze                            
5m04.41s    | Specific/montgomery32_2e511m481_16limbs/feadd                          
5m00.96s    | Specific/montgomery32_2e510m290x2e496m1_16limbs/feadd                  
5m00.60s    | Specific/montgomery32_2e512m491x2e496m1_16limbs/feadd                  
5m00.42s    | Specific/montgomery32_2e495m31_16limbs/feadd                           
4m59.47s    | Specific/solinas32_2e452m3_17limbs/fesquare                            
4m59.15s    | Specific/montgomery64_2e291m19_5limbs/femul                            
4m59.14s    | Specific/montgomery32_2e512m569_16limbs/feadd                          
4m58.44s    | Specific/solinas32_2e444m17_17limbs/fesquare                           
4m58.30s    | Specific/solinas32_2e389m21_15limbs/femul                              
4m56.26s    | Specific/montgomery32_2e511m187_16limbs/feadd                          
4m56.20s    | Specific/solinas32_2e369m25_15limbs/femul                              
4m56.00s    | Specific/solinas32_2e413m21_17limbs/fesquare                           
4m55.89s    | Specific/solinas32_2e511m481_23limbs/fesub                             
4m55.44s    | Specific/solinas32_2e511m187_22limbs/Synthesis                         
4m55.21s    | Specific/solinas32_2e401m31_17limbs/fesquare                           
4m54.54s    | Specific/montgomery32_2e141m9_5limbs/femul                             
4m52.38s    | Specific/montgomery32_2e489m21_16limbs/feadd                           
4m52.00s    | Specific/montgomery64_2e285m9_5limbs/femul                             
4m51.80s    | Specific/montgomery64_2e266m3_5limbs/femul                             
4m50.16s    | Specific/solinas32_2e383m31_16limbs/fesquare                           
4m45.98s    | Specific/solinas32_2e256m2e32m977_13limbs/femul                        
4m43.76s    | Specific/montgomery32_2e140m27_5limbs/femul                            
4m43.44s    | Specific/montgomery32_2e129m25_5limbs/femul                            
4m42.64s    | Specific/montgomery32_2e158m15_5limbs/femul                            
4m42.34s    | Specific/montgomery32_2e130m5_5limbs/femul                             
4m42.23s    | Specific/montgomery32_2e488m17_16limbs/feadd                           
4m42.18s    | Specific/montgomery32_2e137m13_5limbs/femul                            
4m42.07s    | Specific/montgomery32_2e150m5_5limbs/femul                             
4m41.86s    | Specific/montgomery32_2e150m3_5limbs/femul                             
4m41.76s    | Specific/montgomery32_2e152m17_5limbs/femul                            
4m39.12s    | Specific/solinas32_2e369m25_16limbs/fesquare                           
4m38.58s    | Specific/solinas32_2e383m187_16limbs/fesquare                          
4m33.14s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_19limbs/femul               
4m32.93s    | Specific/solinas32_2e511m481_23limbs/feadd                             
4m30.89s    | Specific/solinas32_2e383m31_15limbs/fesquare                           
4m28.73s    | Specific/solinas32_2e401m31_16limbs/fesquare                           
4m16.99s    | Specific/montgomery32_2e452m3_15limbs/feadd                            
4m14.72s    | Specific/solinas64_2e480m2e240m1_10limbs/femul                         
4m14.26s    | Specific/solinas32_2e511m481_24limbs/freeze                            
4m14.21s    | Specific/montgomery32_2e468m17_15limbs/feadd                           
4m12.46s    | Specific/solinas32_2e336m17_14limbs/femul                              
4m08.84s    | Specific/solinas32_2e495m31_21limbs/Synthesis                          
4m07.20s    | Specific/montgomery32_2e389m21_13limbs/Synthesis                       
4m06.80s    | Specific/montgomery32_2e401m31_13limbs/Synthesis                       
4m06.59s    | Specific/solinas32_2e382m105_16limbs/fesquare                          
4m06.41s    | Specific/montgomery32_2e413m21_13limbs/Synthesis                       
4m06.25s    | Specific/montgomery32_2e414m17_13limbs/Synthesis                       
4m06.24s    | Specific/solinas32_2e414m17_16limbs/fesquare                           
4m05.97s    | Specific/solinas32_2e413m21_16limbs/fesquare                           
4m05.18s    | Specific/montgomery32_2e416m2e208m1_13limbs/Synthesis                  
4m05.03s    | Specific/solinas32_2e389m21_16limbs/fesquare                           
4m04.58s    | Specific/montgomery32_2e480m2e240m1_15limbs/feadd                      
4m04.51s    | Specific/montgomery32_2e450m2e225m1_15limbs/feadd                      
4m03.68s    | Specific/solinas32_2e379m19_16limbs/fesquare                           
4m00.24s    | Specific/solinas32_2e450m2e225m1_20limbs/fesquare                      
3m59.23s    | Specific/solinas32_2e338m15_14limbs/femul                              
3m57.05s    | Specific/solinas32_2e511m187_22limbs/fesub                             
3m54.28s    | Specific/solinas32_2e521m1_20limbs/Synthesis                           
3m51.11s    | Specific/solinas32_2e511m187_22limbs/feadd                             
3m50.83s    | Specific/solinas32_2e322m2e161m1_12limbs/fesquare                      
3m47.95s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_18limbs/femul               
3m47.02s    | Specific/solinas32_2e216m2e108m1_10limbs/femul                         
3m46.97s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_19limbs/fesquare            
3m46.18s    | Specific/solinas32_2e511m481_23limbs/freeze                            
